height,weight,chest_circ,tshirt_size,color
1556,597,94.9,Small,red
1599,646,95.4,Medium,blue
1611,726,94.0,Small,red
1681,631,91.5,Small,red
1585,631,92.5,Small,red
1614,660,103.2,Large,lawngreen
1674,789,98.8,Medium,blue
1653,531,83.8,2X-Small,pink
1593,708,99.2,Medium,blue
1592,625,96.9,Medium,blue
1617,680,95.7,Medium,blue
1589,734,109.3,Large,lawngreen
1597,688,99.7,Medium,blue
1698,840,109.0,Large,lawngreen
1619,647,92.3,Small,red
1663,561,84.4,Extra Small,yellow
1606,735,101.1,Medium,blue
1609,733,99.7,Medium,blue
1696,605,94.3,Small,red
1723,722,93.4,Small,red
1748,908,103.1,Large,lawngreen
1695,760,98.5,Medium,blue
1648,606,93.5,Small,red
1579,573,87.2,Extra Small,yellow
1587,602,99.6,Medium,blue
1604,669,99.4,Medium,blue
1603,829,113.1,X-Large,green
1712,765,96.6,Medium,blue
1628,671,90.8,Small,red
1520,589,98.5,Medium,blue
1640,615,89.6,Extra Small,yellow
1616,529,86.4,Extra Small,yellow
1684,847,109.5,Large,lawngreen
1649,596,89.0,Extra Small,yellow
1677,666,96.5,Medium,blue
1653,676,95.8,Medium,blue
1638,658,92.6,Small,red
1646,596,87.8,Extra Small,yellow
1619,735,95.1,Medium,blue
1530,556,85.8,Extra Small,yellow
1603,561,87.0,Extra Small,yellow
1680,560,87.5,Extra Small,yellow
1602,871,113.9,X-Large,green
1447,736,106.4,Large,lawngreen
1627,613,92.3,Small,red
1594,505,86.1,Extra Small,yellow
1688,823,105.7,Large,lawngreen
1547,561,89.6,Extra Small,yellow
1621,754,99.1,Medium,blue
1625,593,90.4,Small,red
1597,695,98.1,Medium,blue
1602,820,104.6,Large,lawngreen
1614,583,95.2,Medium,blue
1743,920,106.7,Large,lawngreen
1603,841,110.5,Large,lawngreen
1576,842,119.6,X-Large,green
1619,660,99.9,Medium,blue
1754,896,105.2,Large,lawngreen
1709,842,101.4,Medium,blue
1789,845,104.8,Large,lawngreen
1587,596,89.6,Extra Small,yellow
1687,688,94.3,Small,red
1665,690,89.9,Extra Small,yellow
1573,748,99.6,Medium,blue
1654,699,91.1,Small,red
1582,691,100.5,Medium,blue
1575,566,87.3,Extra Small,yellow
1600,699,97.6,Medium,blue
1584,468,83.4,2X-Small,pink
1535,701,98.6,Medium,blue
1593,832,106.2,Large,lawngreen
1583,789,100.4,Medium,blue
1608,592,89.6,Extra Small,yellow
1663,583,86.1,Extra Small,yellow
1609,746,95.1,Medium,blue
1513,428,77.2,2X-Small,pink
1704,853,103.4,Large,lawngreen
1708,664,89.9,Extra Small,yellow
1506,577,95.5,Medium,blue
1583,565,86.7,Extra Small,yellow
