height,weight,chest_circ,tshirt_size,color
1641,784,103.2,Large,lawngreen
1644,594,88.2,Extra Small,yellow
1597,766,101.3,Medium,blue
1732,678,89.9,Extra Small,yellow
1529,517,84.7,Extra Small,yellow
1620,662,95.3,Medium,blue
1643,665,99.3,Medium,blue
1556,613,89.7,Extra Small,yellow
1630,729,101.5,Medium,blue
1614,701,92.4,Small,red
1464,426,73.7,2X-Small,pink
1749,729,96.2,Medium,blue
1618,761,99.8,Medium,blue
1631,719,93.7,Small,red
1704,794,100.4,Medium,blue
1669,705,92.4,Small,red
1586,727,102.3,Large,lawngreen
1602,609,88.7,Extra Small,yellow
1620,800,95.0,Medium,blue
1575,625,91.7,Small,red
1513,768,105.2,Large,lawngreen
1573,578,86.8,Extra Small,yellow
1649,639,86.1,Extra Small,yellow
1657,749,98.0,Medium,blue
1538,650,94.5,Small,red
1684,633,85.7,Extra Small,yellow
1550,526,88.5,Extra Small,yellow
1630,766,99.4,Medium,blue
1693,934,120.2,X-Large,green
1557,667,98.2,Medium,blue
1627,622,88.2,Extra Small,yellow
1666,942,120.8,X-Large,green
1599,641,93.0,Small,red
1547,692,98.5,Medium,blue
1636,646,92.2,Small,red
1547,525,88.9,Extra Small,yellow
1629,490,79.2,2X-Small,pink
1560,749,99.7,Medium,blue
1751,852,105.1,Large,lawngreen
1625,772,90.8,Small,red
1573,643,96.4,Medium,blue
1599,722,98.0,Medium,blue
1547,693,97.2,Medium,blue
